time,open,high,low,close,volume,ticker
2022-04-04,32189,32670,31910,32580,4676100,PVS
2022-04-05,32960,33240,32580,32580,3244800,PVS
2022-04-06,32580,32960,32009,32759,5002300,PVS
2022-04-07,32580,33620,31910,33050,7977100,PVS
2022-04-08,32759,33330,31810,31810,4758900,PVS
2022-04-12,32189,32189,28680,28680,9615300,PVS
2022-04-13,29160,29920,28300,29630,6832100,PVS
2022-04-14,29730,30670,29630,29730,6699200,PVS
2022-04-15,29730,30580,29250,29250,5712300,PVS
2022-04-18,29630,29820,28390,28490,7612700,PVS
2022-04-19,27350,30010,27350,28490,8686300,PVS
2022-04-20,28960,29160,25930,25930,7526900,PVS
2022-04-21,25930,26400,23360,23360,16185600,PVS
2022-04-22,22790,23930,21080,22510,23717900,PVS
2022-04-25,20330,23270,20330,20410,10465900,PVS
2022-04-26,18420,22420,18420,22420,10958700,PVS
2022-04-27,22420,23460,21850,22790,8249400,PVS
2022-04-28,22790,23170,22320,22320,5546500,PVS
2022-04-29,22510,23640,22320,23360,8800900,PVS
2022-05-04,23360,24780,23270,24310,12065200,PVS
2022-05-05,24690,25550,24310,24600,11191000,PVS
2022-05-06,24500,24600,22990,22990,9527500,PVS
2022-05-09,23170,23170,20900,20900,11803800,PVS
2022-05-10,18900,22990,18900,22990,10645600,PVS
2022-05-11,23360,24500,23070,23740,8109800,PVS
2022-05-12,23930,24030,21370,21370,10758700,PVS
2022-05-13,21370,23070,21370,21940,14851600,PVS
2022-05-16,21940,24120,21940,24120,10140000,PVS
2022-05-17,24210,26220,24210,26220,15152500,PVS
2022-05-18,26500,26590,25360,25550,14712900,PVS
2022-05-19,24030,27350,24030,26870,17385700,PVS
2022-05-20,26970,27350,25930,26120,10653600,PVS
2022-05-23,26220,27350,25930,26500,11431400,PVS
2022-05-24,26590,26690,24410,26400,17805900,PVS
2022-05-25,26500,28210,26120,27730,14521300,PVS
2022-05-26,27830,27920,26870,26970,8370200,PVS
2022-05-27,27160,27540,26590,26780,9976300,PVS
2022-05-30,27260,29060,26970,27540,15462700,PVS
2022-05-31,27540,29440,27540,29160,16804600,PVS
2022-06-01,28490,30670,28490,30300,13537600,PVS
2022-06-02,30200,30670,28960,29350,14475300,PVS
2022-06-03,29530,30200,28960,29630,9665200,PVS
2022-06-06,29630,31440,29630,29920,13868200,PVS
2022-06-07,29630,31340,28590,31340,19092700,PVS
2022-06-08,31440,32189,30200,30390,13685200,PVS
2022-06-09,30580,31530,30480,30580,7394800,PVS
2022-06-10,30390,30580,28210,28210,19672600,PVS
2022-06-13,27540,28110,25830,25830,18659400,PVS
2022-06-14,26120,28390,25450,28390,11517600,PVS
2022-06-15,28880,28880,27350,28210,8834000,PVS
2022-06-16,28490,30010,27830,29060,17228300,PVS
2022-06-17,28780,29630,27540,28880,11519400,PVS
2022-06-20,28300,28300,26020,26020,13444400,PVS
2022-06-21,26400,26590,23460,23460,16601900,PVS
2022-06-22,23740,23930,21180,21370,16591900,PVS
2022-06-23,21370,23460,21080,23460,7876200,PVS
2022-06-24,24210,24210,22790,22790,5805000,PVS
2022-06-27,22890,23560,22790,23360,6285100,PVS
2022-06-28,23460,24880,23460,24120,8160200,PVS
