time;PVS;PVG;PVC
25/11/2022;19040;7100,00;8022,40
28/11/2022;19630;7800,00;8627,90
29/11/2022;20710;7800,00;9460,40
30/11/2022;20810;7900,00;9914,50
01/12/2022;20410;7800,00;9082,00
02/12/2022;22380;8300,00;9990,20
05/12/2022;22970;8200,00;10519,90
06/12/2022;22970;7400,00;9990,20
07/12/2022;23060;7300,00;9936,20
08/12/2022;23060;7600,00;10013,30
09/12/2022;22570;7400,00;9936,20
12/12/2022;21790;7300,00;9551,10
13/12/2022;22380;7300,00;9859,20
14/12/2022;22970;7500,00;10167,30
15/12/2022;22870;7600,00;10398,40
16/12/2022;22670;7500,00;10398,40
19/12/2022;22080;7500,00;9859,20
20/12/2022;22080;7300,00;9397,10
21/12/2022;21400;7300,00;9551,10
22/12/2022;21990;7300,00;9705,20
23/12/2022;21890;7200,00;9782,20
26/12/2022;21000;7100,00;9628,10
27/12/2022;21690;7200,00;9628,10
28/12/2022;21690;7000,00;9551,10
29/12/2022;21200;6900,00;9243,00
30/12/2022;21000;6800,00;9243,00
03/01/2023;21990;7000,00;9859,20
04/01/2023;22480;7100,00;10783,50
05/01/2023;22570;7100,00;10860,50
06/01/2023;22480;7300,00;10475,40
09/01/2023;22380;7100,00;10629,50
10/01/2023;22380;7200,00;10860,50
11/01/2023;22480;7200,00;10552,40
12/01/2023;23460;7400,00;11553,80
13/01/2023;22970;7400,00;11399,70
16/01/2023;22870;7200,00;11399,70
17/01/2023;23560;7300,00;11707,80
18/01/2023;24540;7300,00;11707,80
19/01/2023;24540;7400,00;11630,80
27/01/2023;24730;7600,00;11707,80
30/01/2023;24140;8000,00;11630,80
31/01/2023;25130;7900,00;12015,90
01/02/2023;23560;7900,00;10860,50
02/02/2023;23460;8000,00;10398,40
03/02/2023;23160;7900,00;10475,40
06/02/2023;23060;7900,00;10475,40
07/02/2023;22870;7700,00;10398,40
08/02/2023;23160;7800,00;10398,40
09/02/2023;23950;8000,00;11014,60
10/02/2023;23360;8000,00;10706,50
13/02/2023;23850;7800,00;10475,40
14/02/2023;23950;8100,00;10629,50
15/02/2023;24240;7900,00;10706,50
16/02/2023;25910;8000,00;11553,80
17/02/2023;25520;7900,00;11399,70
20/02/2023;26300;8100,00;12015,90
21/02/2023;25910;8300,00;11784,80
22/02/2023;25520;8500,00;11245,70
23/02/2023;26010;8300,00;11707,80
24/02/2023;25130;8100,00;11707,80
27/02/2023;25220;7800,00;11399,70
28/02/2023;25520;7800,00;11399,70
01/03/2023;26500;8000,00;12170,00
02/03/2023;26210;7900,00;12247,00
03/03/2023;25910;7900,00;12015,90
06/03/2023;26110;8000,00;12015,90
07/03/2023;26300;7900,00;12478,10
08/03/2023;26990;7800,00;12709,10
09/03/2023;26600;7900,00;12401,00
10/03/2023;25910;8100,00;12170,00
13/03/2023;25620;7900,00;11784,80
14/03/2023;24440;7900,00;11245,70
15/03/2023;25620;8000,00;11707,80
16/03/2023;24730;7700,00;11322,70
17/03/2023;24930;7700,00;11322,70
20/03/2023;23560;7600,00;10706,50
21/03/2023;23850;7600,00;11014,60
22/03/2023;24240;7600,00;11014,60
23/03/2023;24240;7700,00;11168,60
24/03/2023;24640;7700,00;11322,70
27/03/2023;24730;7700,00;11399,70
28/03/2023;24930;7600,00;11322,70
29/03/2023;24930;7600,00;11399,70
30/03/2023;24730;7700,00;11245,70
31/03/2023;25030;7600,00;11168,60
03/04/2023;26010;7800,00;11861,90
04/04/2023;25810;7800,00;11938,90
05/04/2023;25810;7900,00;12170,00
06/04/2023;25220;7800,00;11861,90
07/04/2023;25130;7900,00;11707,80
10/04/2023;25220;7800,00;11707,80
11/04/2023;25710;7900,00;12324,00
12/04/2023;25620;8000,00;12632,10
13/04/2023;25910;8000,00;12555,10
14/04/2023;25420;7800,00;12015,90
17/04/2023;25130;7800,00;12015,90
18/04/2023;25220;7800,00;12247,00
19/04/2023;25030;7700,00;11938,90
20/04/2023;24730;7800,00;11861,90
21/04/2023;24440;7800,00;11707,80
24/04/2023;24640;7800,00;11707,80
25/04/2023;24440;7700,00;11707,80
26/04/2023;24640;7700,00;12092,90
27/04/2023;24540;8000,00;12092,90
28/04/2023;24830;8100,00;12092,90
04/05/2023;24640;7900,00;11861,90
05/05/2023;24730;8000,00;12015,90
08/05/2023;25220;7900,00;12247,00
09/05/2023;25420;8000,00;12632,10
10/05/2023;25420;8100,00;12555,10
11/05/2023;25710;7900,00;12555,10
12/05/2023;25810;7900,00;12632,10
15/05/2023;25220;8000,00;12478,10
16/05/2023;26010;8200,00;13017,20
17/05/2023;26010;8300,00;12632,10
18/05/2023;26110;8300,00;12786,20
19/05/2023;27780;8400,00;13479,40
22/05/2023;28170;8700,00;13556,40
23/05/2023;28950;8800,00;13710,50
24/05/2023;28950;8700,00;13325,30
25/05/2023;29840;8600,00;13864,50
26/05/2023;29740;8600,00;13864,50
29/05/2023;29350;9200,00;13633,40
30/05/2023;30030;9000,00;14249,60
31/05/2023;30430;9000,00;14172,60
01/06/2023;30030;9200,00;13941,50
02/06/2023;30430;9100,00;13941,50
05/06/2023;30520;9200,00;13864,50
06/06/2023;30430;9000,00;13787,50
07/06/2023;30430;9100,00;14095,60
08/06/2023;30030;9000,00;13787,50
09/06/2023;30030;9000,00;13710,50
12/06/2023;30330;9000,00;13633,40
13/06/2023;30330;9100,00;13633,40
14/06/2023;29940;9300,00;13402,40
15/06/2023;32390;10200,00;14018,60
16/06/2023;31800;10100,00;13710,50
19/06/2023;32189;9800,00;13787,50
20/06/2023;32490;10700,00;14018,60
21/06/2023;32490;10700,00;14326,70
22/06/2023;32490;10500,00;14249,60
23/06/2023;31210;10200,00;13941,50
26/06/2023;32000;10200,00;14018,60
27/06/2023;32189;10400,00;14326,70
28/06/2023;32090;10200,00;14172,60
29/06/2023;31900;10000,00;14095,60
30/06/2023;31800;9700,00;13941,50
03/07/2023;32590;9800,00;14172,60
04/07/2023;33960;10200,00;14711,80
05/07/2023;33270;10300,00;14480,70
06/07/2023;32490;9900,00;14095,60
07/07/2023;32590;10100,00;14249,60
10/07/2023;33080;10400,00;14403,70
11/07/2023;33170;10100,00;14326,70
12/07/2023;33170;10000,00;14557,70
13/07/2023;33370;10100,00;14557,70
14/07/2023;33370;10200,00;14557,70
17/07/2023;34160;10300,00;14788,80
18/07/2023;33860;10200,00;14942,90
19/07/2023;33270;10400,00;14634,80
20/07/2023;33270;10400,00;14557,70
21/07/2023;33660;10500,00;14711,80
24/07/2023;34250;10300,00;14942,90
25/07/2023;34350;10200,00;14788,80
26/07/2023;34160;10100,00;14788,80
27/07/2023;33470;10200,00;14634,80
28/07/2023;33760;10300,00;14788,80
31/07/2023;33760;10100,00;14865,80
01/08/2023;33080;10000,00;14557,70
02/08/2023;33370;10100,00;14711,80
03/08/2023;32390;9900,00;14403,70
04/08/2023;33660;10000,00;14634,80
07/08/2023;33660;10100,00;14634,80
08/08/2023;35330;10300,00;15019,90
09/08/2023;35040;10300,00;15019,90
10/08/2023;34350;10900,00;15251,00
11/08/2023;34350;10800,00;15251,00
14/08/2023;34350;10800,00;15019,90
15/08/2023;33960;10800,00;14865,80
16/08/2023;34060;10800,00;14865,80
17/08/2023;33760;10500,00;14711,80
18/08/2023;31410;9500,00;13248,30
21/08/2023;32189;9800,00;13171,30
22/08/2023;32390;9800,00;13171,30
23/08/2023;32090;9800,00;12940,20
24/08/2023;32780;9800,00;13325,30
25/08/2023;32590;9800,00;13248,30
28/08/2023;32880;9900,00;13248,30
29/08/2023;34250;9800,00;13556,40
30/08/2023;34250;9800,00;13479,40
31/08/2023;34840;10000,00;13633,40
05/09/2023;35820;10300,00;14172,60
06/09/2023;35920;10300,00;14480,70
07/09/2023;36810;10200,00;14634,80
08/09/2023;36410;10200,00;14788,80
11/09/2023;35240;10000,00;14403,70
12/09/2023;36220;10000,00;14788,80
13/09/2023;36510;10200,00;14788,80
14/09/2023;37200;10300,00;14865,80
15/09/2023;38670;10800,00;15328,00
18/09/2023;37790;10400,00;14788,80
19/09/2023;38180;10500,00;15328,00
20/09/2023;38470;10300,00;15096,90
21/09/2023;37690;10200,00;15405,00
22/09/2023;36610;10100,00;14711,80
25/09/2023;34940;9400,00;13248,30
26/09/2023;35430;9400,00;12709,10
27/09/2023;36710;9500,00;13248,30
28/09/2023;38770;9700,00;13864,50
29/09/2023;37890;9600,00;13556,40
02/10/2023;37200;9700,00;13556,40
03/10/2023;35330;9400,00;12324,00
04/10/2023;36510;9700,00;12709,10
05/10/2023;35730;9600,00;12555,10
06/10/2023;36120;9800,00;12555,10
09/10/2023;37490;10000,00;13402,40
10/10/2023;37100;9900,00;13248,30
11/10/2023;38670;10000,00;13941,50
12/10/2023;38280;9900,00;13787,50
13/10/2023;39160;10000,00;14172,60
16/10/2023;39950;10000,00;14557,70
17/10/2023;37300;9700,00;13171,30
18/10/2023;37790;9400,00;13710,50
19/10/2023;36900;9500,00;13325,30
20/10/2023;38180;9500,00;13633,40
23/10/2023;37490;9500,00;13402,40
24/10/2023;37390;9700,00;13017,20
25/10/2023;37100;9400,00;14000,00
26/10/2023;35600;8800,00;13500,00
27/10/2023;37100;8900,00;13900,00
30/10/2023;35000;8900,00;13400,00
31/10/2023;33000;8600,00;12500,00
01/11/2023;33800;8600,00;13100,00
02/11/2023;35100;9200,00;13700,00
03/11/2023;34900;9300,00;13700,00
06/11/2023;35000;9200,00;13700,00
07/11/2023;35600;9000,00;14600,00
08/11/2023;37200;9300,00;15000,00
09/11/2023;36800;9100,00;15100,00
10/11/2023;36500;9100,00;14800,00
13/11/2023;37400;9100,00;15200,00
14/11/2023;37200;9200,00;15100,00
15/11/2023;36900;9300,00;15000,00
16/11/2023;37400;9300,00;15100,00
17/11/2023;36400;9100,00;14400,00
20/11/2023;36600;9100,00;14600,00
21/11/2023;38500;9100,00;15200,00
22/11/2023;38400;9200,00;15200,00
23/11/2023;36500;9000,00;14700,00
24/11/2023;37000;9000,00;14700,00
27/11/2023;37100;9000,00;14400,00
28/11/2023;37200;8900,00;14400,00
29/11/2023;39000;9000,00;15000,00
30/11/2023;38600;9000,00;14900,00
01/12/2023;38800;9000,00;14900,00
04/12/2023;39300;9000,00;15300,00
05/12/2023;40000;9200,00;16000,00
06/12/2023;40200;9200,00;16100,00
